,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,capital,capital_trend,capital_cycle,tfp,tfp_trend,tfp_cycle,real_m2,real_m2_trend,real_m2_cycle,t_bill_3mo,t_bill_3mo_trend,t_bill_3mo_cycle,pce_inflation,pce_inflation_trend,pce_inflation_cycle,unemployment,unemployment_trend,unemployment_cycle
1983-01-01,39.72279014740822,41.441430469348816,-0.042356034290545796,24.983487539586097,25.613129860723216,-0.024889996962897065,6.467423333810951,7.778993309739747,-0.18464915424396966,101.11195973979574,105.5732136474463,-0.04317626528335783,45.98846281764501,46.300399072278275,-0.006760023607346177,18.37195044298152,18.59235589080284,-0.011925453594688662,2.2763457641061154e-05,2.2755281381028186e-05,0.000359248094150999,0.08106666666666668,0.10149682363228563,-0.02043015696561895,0.08461811528904173,0.09230441711123678,-0.007686301822195055,0.10366666666666667,0.08317613270886956,0.02049053395779711
1983-04-01,40.521432920075895,41.658585258466275,-0.027676433991428606,25.469215519873906,25.784730983134583,-0.012312006017435095,6.949545401755801,7.820351930340264,-0.11805330980632878,102.03159758143283,105.74893792579866,-0.035785229098680205,45.91370894236036,46.528866378142375,-0.013309160071549364,18.641965133152116,18.637451137405723,0.0002421709468674038,2.3117483700718675e-05,2.2926853710291703e-05,0.008280326760587542,0.08396666666666666,0.0994150045604564,-0.015448337893789743,0.1028576051224601,0.09137949949654381,0.011478105625916293,0.10133333333333333,0.08295607003192323,0.018377263301410096
1983-07-01,41.21449046391279,41.89768764161696,-0.016440733045234524,25.91722720821596,25.96895615596783,-0.0019939398713311185,7.2869693989925475,7.869472949511347,-0.07690335133809256,103.79217520074333,105.96928164635936,-0.02075867185628688,45.95177481319788,46.76044939938625,-0.017445274388057097,18.74568909439472,18.686578918985234,0.003158249696300519,2.3170156075960292e-05,2.3111402015887827e-05,0.00253898503238581,0.09140000000000001,0.0972341227088434,-0.005834122708843398,0.11230150872309208,0.09044717095629096,0.021854337766801124,0.09366666666666665,0.08250070313609274,0.011165963530573905
1983-10-01,41.953946166841924,42.15643946214322,-0.004814950852971123,26.230113601698736,26.164516251466832,0.0025039735823964016,7.943630548741129,7.924525525860287,0.002407971288214128,105.43897147853576,106.22919449045473,-0.0074666559291527435,46.070550305457836,46.99670378878574,-0.019903543235728627,18.870705944506998,18.738985765827092,0.007004615632634881,2.334640671916292e-05,2.33072258041543e-05,0.0016796515984296434,0.088,0.09498027562885517,-0.00698027562885517,0.1057731476345969,0.08947719218882426,0.016295955445772642,0.08533333333333333,0.08183235288450089,0.003500980448832444
1984-01-01,42.59706853841508,42.432071340091156,0.003880961412916051,26.357552951468048,26.370059252299757,-0.000474373882811463,8.62035908130067,7.983257018446855,0.07678026470424548,107.02341619072658,106.5222404852,0.004693859228975583,46.28903576174758,47.23870180366492,-0.020308385633747594,18.9437264868106,18.793948556500922,0.007937887885074879,2.3513082534445278e-05,2.3512613284883064e-05,1.995715551039723e-05,0.0917,0.09267591454520718,-0.0009759145452071794,0.10691988287041632,0.08845298285359401,0.018466900016822302,0.07866666666666668,0.08098031886747704,-0.0023136522008103677
1984-04-01,43.22310990778903,42.721627179205136,0.011670020456247876,26.68970315651284,26.584237762687717,0.0039593666165278485,8.827597899349332,8.043365008328301,0.0930354100234978,108.14037212750702,106.841446637663,0.012084196736918074,46.74309535432043,47.486947556928435,-0.01578833313288408,19.027733655041885,18.850819198787676,0.009341209172974096,2.3754953613373034e-05,2.3725821904365412e-05,0.0012270950651256385,0.09796666666666667,0.09033912801034694,0.007627538656319738,0.10066425480497809,0.08736814758220415,0.01329610722277394,0.07433333333333333,0.07997608878813116,-0.005642755454797824
1984-07-01,43.52390868064879,43.02218258422177,0.011594555220769909,26.785418502469334,26.805655553921845,-0.0007552396652146243,8.939246580052542,8.10286698264668,0.09823336294385676,108.30862696357717,107.1800910906931,0.010474294902998338,47.2262640899455,47.74135043790568,-0.010847727438431765,19.07203020630494,18.90903606611215,0.008582968136522595,2.3793531861466995e-05,2.3945047695488318e-05,-0.006347752454789912,0.1032,0.08798739463013117,0.015212605369868834,0.08346412229863853,0.08622783281876908,-0.0027637105201305523,0.07433333333333333,0.07884970431694767,-0.0045163709836143345
1984-10-01,43.74744266114851,43.33105035993729,0.009563681237516164,27.014749816743787,27.032937694517432,-0.0006730307732927265,8.770903794222688,8.160196252756554,0.07217163701808538,108.67051618356828,107.53218981508665,0.010530274188502275,47.70180182078207,48.00134478740346,-0.00625985571821408,19.061503226747433,18.96814153931387,0.004909952515653515,2.4066685425673165e-05,2.4168437982661887e-05,-0.004219029650325723,0.08803333333333335,0.08564296022207685,0.002390373111256505,0.07978980786479717,0.08504549507441754,-0.005255687209620372,0.07300000000000001,0.07762768040225176,-0.004627680402251755
1985-01-01,44.07460316254208,43.64578304641877,0.009777055268199053,27.464868188045067,27.264649369489824,0.007316699313308028,8.438075861344547,8.214248168212366,0.026884076191910466,109.29541610205979,107.89239130133983,0.012920102049663207,48.158022135818385,48.26602565874444,-0.0022401790956392276,19.068977005617207,19.02777440178218,0.0021630516187207682,2.4494295397918047e-05,2.4393972638293293e-05,0.004104170774548166,0.08183333333333334,0.08333757848205711,-0.0015042451487237707,0.09008607766632949,0.08383286354120316,0.006253214125126333,0.07233333333333333,0.07633370926050392,-0.004000375927170591
1985-04-01,44.35678159068714,43.96412408621365,0.00889166813852027,27.69675198108065,27.499293903478577,0.007154821211711848,8.54151288421835,8.264266374427036,0.032997180420977656,109.76842796952131,108.2559862764515,0.013874280637438119,48.505620855539085,48.53427818840973,-0.0005906299158606743,19.089156559141333,19.087627460706663,8.01061941042569e-05,2.4709288033822308e-05,2.4619489760060374e-05,0.0036408107790784072,0.0746,0.08110449708913967,-0.006504497089139666,0.08315763794309561,0.08259838260667361,0.000559255336421996,0.073,0.07498859080791323,-0.0019885908079132347
