,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,capital,capital_trend,capital_cycle,tfp,tfp_trend,tfp_cycle
1981-01-01,41.03877373674659,40.465835449399435,0.014059271750020308,24.770521199207124,24.73018660331582,0.001629657700203957,8.136030951812986,7.722092963074046,0.052217026542779266,106.53384151096992,105.58387060084942,0.008957076256755236,47.2652107807113,46.92677943719758,0.00718602078756847,18.171976181620764,18.068291881460006,0.005722064907631275
1981-04-01,40.60124087461649,40.533729235177645,0.0016641814233393504,24.61757029078539,24.79968452187842,-0.007370504744504736,7.829290751429154,7.713739410023267,0.014868847202098578,106.26503184407785,105.49936737437815,0.007231317530520975,47.6461095802511,47.214857253425,0.009092365642599631,17.957266639918323,18.06928187800232,-0.0062185029462416
1981-07-01,40.948523408786095,40.611102163548026,0.008274269724898087,24.590885548748915,24.8780096848642,-0.011608399946483772,8.191904939838215,7.7067821197872135,0.06104572824106791,105.82085679356972,105.42335215622798,0.0037634651240372463,47.933043222469045,47.494393625080455,0.009193429089138228,18.12211751103942,18.07487472191762,0.002610317213254554
1981-10-01,40.36511724116487,40.70103484461895,-0.00828754091493522,24.292351676157054,24.966937728609647,-0.027390903783307774,7.915926640057227,7.702600841319072,0.027318716970353485,104.99234109559595,105.36380399104893,-0.00353175593148336,48.300196188246446,47.76584487143641,0.011124780867014294,17.907539898148496,18.085444082192918,-0.009885572862743164
1982-01-01,39.620805845493905,40.806855690983035,-0.02949571851127919,24.372353007673322,25.068098782064336,-0.02814665648880066,7.118962531070525,7.702868455124453,-0.07883078324978365,102.89136160304693,105.32893741409508,-0.023414500757287016,48.60643538909955,48.02996181307888,0.01193091694139703,17.7704516006279,18.10139793823096,-0.018452113948351556
1982-04-01,39.68057922814166,40.9317311226479,-0.031043704530471672,24.29020862713822,25.182732968348873,-0.036085228001392355,7.0694547018968565,7.709395842239135,-0.0866564757352879,103.0608342512758,105.32673767725018,-0.02174786829130504,48.6992541865567,48.287854560557854,0.008483644862830264,17.766365595333234,18.123038285325073,-0.01987686584294357
1982-07-01,39.4143322115065,41.078131534978425,-0.04134638858477757,24.41992467681492,25.311675657313245,-0.03586639352150378,6.942558062520941,7.723632223294721,-0.1066144451253348,102.01730802902847,105.36367348880052,-0.03227543744580341,48.78300508878996,48.541024543806486,0.004972688544249149,17.753600659930605,18.15046435471225,-0.02210779523533901
1982-10-01,39.310570807336475,41.247791461875195,-0.0481041110359528,24.78807946072503,25.45522510461554,-0.026558159845574636,6.345519310708346,7.746638365517566,-0.19951004649993576,100.75212053755918,105.44482859315235,-0.04552461628100879,48.826254009679,48.79126730711132,0.0007168119737892553,17.845540485776365,18.183555449846367,-0.018763994643993254
1983-01-01,39.72279014740822,41.44143717621606,-0.04235619613019814,24.983487539586097,25.613132455461557,-0.024890098267900562,6.467423333810951,7.778996496490821,-0.18464956390500098,101.11195973979574,105.57322429965004,-0.04317636618208809,48.737992451599645,49.040570217724856,-0.006189060745104946,18.00232945057574,18.221943420833746,-0.012125386850954545
1983-04-01,40.521432920075895,41.65859205736174,-0.02767659719656068,25.469215519873906,25.78473356915782,-0.012312106310244264,6.949545401755801,7.820354734918954,-0.11805366843190113,102.03159758143283,105.74894819155571,-0.03578532617536734,48.6853523161089,49.29098448333675,-0.012362982754737128,18.263420236572255,18.265047419415065,-8.90912183457715e-05
1983-07-01,41.21449046391279,41.89769437242289,-0.01644089369384716,25.91722720821596,25.968958681234874,-0.0019940371130879875,7.2869693989925475,7.869475387547264,-0.07690366114734593,103.79217520074333,105.9692913797662,-0.02075876370749352,48.74397152699057,49.5444119122764,-0.016287948858645596,18.36263037346369,18.312146020330044,0.0027530848165859823
1983-10-01,41.953946166841924,42.15644599697461,-0.004815105866795122,26.230113601698736,26.1645186750587,0.002503880953443005,7.943630548741129,7.924527616811598,0.0024077074300148382,105.43897147853576,106.22920358585885,-0.007466741549718492,48.88256745487401,49.802408654979466,-0.018642510270375112,18.483424348130875,18.36251199137653,0.006563154735159671
1984-01-01,42.59706853841508,42.432077579476825,0.003880814368828478,26.357552951468048,26.370061543086088,-0.00047446075353896333,8.62035908130067,7.983258784542315,0.07678004347934175,107.02341619072658,106.52224887123059,0.004693780503347789,49.116849938369434,50.06605370958701,-0.019141055905858018,18.554620860355993,18.415443521608953,0.007529226608682826
1984-04-01,43.22310990778903,42.72163304855227,0.011669883070405618,26.68970315651284,26.58423989808044,0.003959286291010944,8.827597899349332,8.043366473805003,0.09303522782654827,108.14037212750702,106.84145427188486,0.012084125283172042,49.59129024300082,50.33586273138395,-0.014902581453673402,18.637870285667894,18.470307496898336,0.00903110514508576
1984-07-01,43.52390868064879,43.02218803055598,0.01159442862714899,26.785418502469334,26.80565751870847,-0.0007553129626778343,8.939246580052542,8.102868173149577,0.0982332160202044,108.30862696357717,107.18009795483525,0.010474230859929712,50.09492993001789,50.611757429249906,-0.010264105595595208,18.682429933669336,18.526550972999175,0.008378615526588806
1984-10-01,43.74744266114851,43.33105534890538,0.009563566101423948,27.014749816743787,27.03293947978629,-0.0006730968137955706,8.770903794222688,8.16019719477337,0.07217152157763129,108.67051618356828,107.53219591077323,0.010530217501417027,50.59038468657725,50.89318409542631,-0.005967474558865593,18.673276486471423,18.583719394677964,0.004807540821025302
1985-01-01,44.07460316254208,43.64578755951522,0.009776951865398065,27.464868188045067,27.264650971635955,0.007316640550546705,8.438075861344547,8.214248888527795,0.026883988500939537,109.29541610205979,107.89239664624888,0.012920052510406066,51.06946837344019,51.17924846330243,-0.0021473155936067023,18.681207821467652,18.641450281940347,0.0021304781913031867
1985-04-01,44.35678159068714,43.96412811822219,0.008891576427188852,27.69675198108065,27.499295323297098,0.00715476958062311,8.54151288421835,8.26426689959364,0.03299711687431017,109.76842796952131,108.25599090088924,0.013874237919822008,51.43976344885836,51.46884398708577,-0.0005651721411075172,18.700763011082536,18.699432835183064,7.113202858599621e-05
1985-07-01,44.916419334391904,44.28402412233475,0.014179431919858043,28.199878698299823,27.735449935945375,0.016606300403519292,8.418112487403759,8.309623201747804,0.012971367892902208,109.78839778224929,108.6190830600255,0.010707745816104008,51.81108587659087,51.76076920116889,0.0009716284282581533,18.886860348694135,18.757377345397668,0.006879327189378781
1985-10-01,45.117032822381034,44.60361007546714,0.01144504396567747,28.216838128654757,27.971767619735562,0.008723194309181448,8.726215056952778,8.349857255130186,0.04408727641171817,110.01526278291006,108.97867014990419,0.009466932357200974,52.12172275740627,52.05377656033711,0.0013044565593438584,18.906181690993918,18.814991345163467,0.004834978137581825
1986-01-01,45.31404163990777,44.92136492976122,0.00870343923384942,28.38374261871337,28.20714806833875,0.0062411148313454845,8.679602149533649,8.384578174701105,0.03458160543653088,109.30135884208978,109.33244162969484,-0.0002843365275397858,52.39457474960285,52.346621791060336,0.0009156466314426126,19.034446294090227,18.87205995301991,0.008567781655569373
1986-04-01,45.392633151329946,45.236049242383835,0.0034555079168825387,28.47643876039167,28.44061010163977,0.0012589782569785157,8.540936299252413,8.413632216600497,0.015017365379171643,108.71187076810453,109.67870727083567,-0.00885425395082251,52.76084072370834,52.638075619224395,0.0023295336282629364,19.088004279658897,18.928422971923723,0.008395436214810648
1986-07-01,45.69724248094757,45.546639122074104,0.0033011198776922157,28.93177471356184,28.671254075835062,0.009045441516406072,8.289488150588806,8.437058210087345,-0.01764547029373631,108.9522779449829,110.0157380877182,-0.009713459742302533,53.07459657592167,52.92691228195721,0.0027864582516179404,19.14874514439458,18.984020091089963,0.008639608321861836
1986-10-01,45.80805374267695,45.852185155887156,-0.0009629347937680777,29.04104209026456,28.898177170253504,0.0049315545282331286,8.281742432083929,8.45498685841521,-0.020703043136364396,109.45000195940607,110.34117631262437,-0.00810932671586162,53.31099459593137,53.211957844584184,0.0018594448917053086,19.10864920230464,19.038890364896904,0.00365732185913048
1987-01-01,45.988376066791744,46.15181221269018,-0.0035475577021522042,29.05599006982447,29.120617002763364,-0.0022217507267967562,8.4844484756295,8.46746796967041,0.0020033736826348125,110.42307787448296,110.65196890569501,-0.002070709619498068,53.50648869953619,53.49210826989796,0.0002687966035463951,19.0493951097944,19.093176569666117,-0.00229567526109431
1987-04-01,46.35053564631939,46.44459979737373,-0.002027351602489791,29.44626916394302,29.33788361282344,0.003687581391275785,8.434513680327576,8.474452835405554,-0.00472402962248708,110.71131465730323,110.94447256753547,-0.002103784423100663,53.77887616516595,53.76630161625267,0.00023384682102900456,19.132870172511378,19.147067016092024,-0.0007417381152738933
1987-07-01,46.62769072309608,46.729506859303996,-0.002181217500357935,29.75812631798994,29.54923183037825,0.0070445003115420235,8.366695753719455,8.475913948103752,-0.012969453932606179,111.1787905380415,111.21487102247886,-0.0003244740385204281,54.04051102868139,54.03346697996345,0.00013035605531896977,19.162056280123867,19.2007246841761,-0.002015933995185737
1987-10-01,47.31160296492818,47.00541476646767,0.006492768356436418,29.767385258017416,29.753970964603113,0.00045073884376023443,8.941402971046482,8.471809558417945,0.05394837965112664,112.06641633307852,111.45917765865504,0.005433294303533565,54.288007025938086,54.29252477656518,-8.321474494010772e-05,19.311966906340935,19.254305508467116,0.0029902522193014924
1988-01-01,47.427330611886305,47.27112285088145,0.003299059213126121,30.212686965440916,29.951531401471144,0.008681479167828243,8.493562535274553,8.462040309575553,0.0037182118859382385,111.86975966651949,111.67336642400929,0.0017570953441810033,54.656073844402016,54.542384845533604,0.0020822462388130347,19.3355374165025,19.307942864405476,0.001428161055199606
1988-04-01,47.94025110834024,47.5256064713415,0.008686817569321992,30.40551002292495,30.14134604380848,0.008725990826272678,8.632187361903013,8.446803361658379,0.021709863823423436,113.20037504266043,111.85378402959984,0.011966960209096378,54.92359541379558,54.78194088654858,0.0025824513647938474,19.361893688299787,19.361807809680972,4.435455057016924e-06
1988-07-01,48.10322589593293,47.767929160248336,0.0069947650587560695,30.612007953364248,30.32300781111474,0.00948559069211452,8.577529247648638,8.426325006357098,0.017785170898148905,113.2142163448979,111.99690639404382,0.010810494537618176,55.20825997331871,55.01014670920184,0.0035949254473806036,19.391054599588347,19.416090643579285,-0.0012902802979937178
1988-10-01,48.6352561245264,47.99740894059366,0.013201673520349289,30.936087695135754,30.496276506027648,0.01431879463747121,8.671806188928574,8.400953617755368,0.03173187005593592,114.23202388413722,112.10006587154656,0.018839759520347776,55.48131952196182,55.226036982192035,0.004611852370098646,19.458169963403435,19.47098385397839,-0.0006583184981541201
1989-01-01,48.99286858471452,48.21357543827996,0.016034118933057506,31.02625448950543,30.661098772442003,0.011839054939500215,8.938383422905618,8.371135771543582,0.06556517683573748,115.0448383880483,112.16138438537227,0.02538318523788341,55.73701978103203,55.42876606455452,0.005545852155838027,19.479741686766907,19.526666367692812,-0.002405999726864838
1989-04-01,49.259262007621565,48.41636373864875,0.01725956064979073,31.19057350882122,30.817706272186847,0.012026514270083943,8.78595305749785,8.337485173545103,0.052392569709325265,115.23087136684211,112.18034645008898,0.026829880559965602,56.08515178826136,55.61764755263902,0.008370550569216206,19.52251033585705,19.583311126739414,-0.0031095544141637177
1989-07-01,49.51156283895702,48.60620927937141,0.018454949306832447,31.377617659161196,30.966574263900462,0.013186452135135696,8.66253381591998,8.30095237163323,0.04263701643182749,115.22104106311563,112.15826324282597,0.026941441174154868,56.378032962077285,55.792191255018324,0.010445678218280463,19.587850100345914,19.641063595508495,-0.0027129748335008586
1989-10-01,49.4990406816603,48.784093986122194,0.014548972397533166,31.468033934611846,31.108429669033075,0.011493401942305859,8.576571699090094,8.262746288669321,0.037277252038395936,114.96385826727204,112.09837065606825,0.025241007795202997,56.633232898361584,55.952206299178314,0.012098099194687961,19.580384623116117,19.700032745891622,-0.006092017388195092
1990-01-01,49.64091904518662,48.951590430963,0.013983614993571702,31.59622362233617,31.24427748338131,0.011201368947226786,8.544437614957472,8.224275020478666,0.03819035052556874,114.37989699804199,112.0058241955832,0.02097446627323496,56.530899411562025,56.097878767468146,0.007689380719182459,19.71408930019039,19.760295454422952,-0.002341071336410927
1990-04-01,49.71635217467033,49.110748543658715,0.012255974468120101,31.559900534199397,31.375371264114452,0.005864113830246875,8.464419442103537,8.1871118604154,0.0333102364260327,113.63893538322681,111.88755935225488,0.01553175595369094,56.75836341041897,56.229834357768226,0.009355541872427153,19.799782824792665,19.82185418532053,-0.001114106557747796
1990-07-01,49.63474803035912,49.264081895382226,0.007495900019281354,31.741696294532378,31.503210081836944,0.0075417091029477135,8.258146859938021,8.152996642694234,0.01281466537241327,112.77749873664264,111.7519688816268,0.00913498791423173,56.946522214093164,56.348986944078426,0.010548358270928482,19.842298402730354,19.884682457369916,-0.002133767520361207
1990-10-01,49.050215020132434,49.41451772999473,-0.007399692498669896,31.595371206064517,31.629435705689414,-0.001077567637924659,7.739357165667405,8.12381138396036,-0.04848079568816299,111.9932612775123,111.6084998713845,0.00344149155092488,57.05391188176258,56.45659829299992,0.010524472161423049,19.684779829817426,19.94873967050057,-0.01332022726377824
1991-01-01,48.71637177618935,49.56525287992115,-0.01727489176107433,31.26765879815302,31.75586699201349,-0.015493197292835159,7.463184538507333,8.101482451130869,-0.08206485862567003,110.65184956157627,111.46719134796342,-0.0073415178198583675,57.061162099566445,56.554320934687375,0.008922103106914214,19.703657807769012,20.013958103284942,-0.015625641266033163
1991-04-01,48.997126860070324,49.71929364967221,-0.014631399095556663,31.40406710235511,31.884330735634382,-0.015177279523697962,7.409640843560116,8.087683800860512,-0.08756041712670282,109.74953206017621,111.33827170129994,-0.014372271665776815,57.005908423400605,56.64419772227807,0.0063653600458319914,19.92971987135803,20.080102050932197,-0.007517298529223115
1991-07-01,49.12508408861468,49.87914550122101,-0.015233207659415271,31.451684690270937,32.01637342205039,-0.01779489241063681,7.5000500604412,8.083686606709449,-0.07493833643773007,109.34758344215993,111.23141431494597,-0.017081197168111295,56.91505297037806,56.72860505963946,0.0032812755459898924,20.040664062320182,20.146735965579236,-0.0052788759415456354
1991-10-01,49.159726282049164,50.04688957329684,-0.01788564065978626,31.389452096951683,32.15326263217756,-0.024042011094416615,7.680843313021281,8.090349348514517,-0.05194256538205533,108.86582815590361,111.1552668587957,-0.02081183477425519,56.83128648681474,56.81016188007069,0.00037177644760699735,20.122807992888088,20.213323528086537,-0.004488069813411322
1992-01-01,49.63855172044756,50.22415920638267,-0.011728385765938487,31.987223702067787,32.29592952160073,-0.00960463752009888,7.464128367186865,8.108193599174225,-0.0827664442812277,107.9700206102869,111.11728816199653,-0.02873269191058192,56.827048767938535,56.891619788185956,-0.001135627562418584,20.428760711203726,20.279254407326935,0.007345333622639227
1992-04-01,50.06432700867202,50.412051079993084,-0.00692153650749372,32.152363048508796,32.444835963481616,-0.009055343513031833,7.83823618068742,8.137526162349582,-0.03747239046672801,108.15113794395215,111.12351599088083,-0.027112665084094267,56.76681257088326,56.9757596031128,-0.0036740380189419497,20.58919508717606,20.343853333249122,0.011987609103730978
1992-07-01,50.42354514719313,50.611312106738026,-0.003716879121086425,32.45782174697476,32.60025874501284,-0.0043787712317100436,7.864276247938576,8.178282342668604,-0.039151635607262314,108.03955181510577,111.17804119179848,-0.02863551042758683,56.77700733451064,57.06533832585402,-0.005065454443866635,20.749540061048727,20.4065304350121,0.016669111712214413
1992-10-01,50.794158387440774,50.82248670144778,-0.0005575526473262649,32.747688111320876,32.762296796472285,-0.00044599874092865477,8.04368717291823,8.230249572160362,-0.022928757253356302,108.39368273531387,111.28313645516354,-0.026307922515022675,56.77214517632967,57.16300010249596,-0.0068610341165653566,20.858261389933723,20.466842559721123,0.018943958928332005
1993-01-01,50.75020880272915,51.046015796383635,-0.005811764187363622,32.80186333561175,32.93096314786709,-0.003928021512406232,8.173695397572542,8.293049830988666,-0.01449667459867543,109.08218906071107,111.43915538581382,-0.021377124176559015,56.84225856554273,57.271228477938394,-0.007518338877372521,20.745654718740695,20.524556113271878,0.010714785134652516
