,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend,real_m2,real_m2_trend,t_bill_3mo,t_bill_3mo_trend,pce_inflation,pce_inflation_trend,unemployment,unemployment_trend
1959-01-01,27.2141861508896,26.939952509505325,16.501876609657746,16.445165280843995,4.434963661601091,4.3326924406849905,109.07875882910822,108.946923690782,28.676269464533775,28.530846229088567,14.134992288258628,14.028500138246457,1.53491856519593e-05,1.5033740243675017e-05,0.027733333333333336,0.02963178856582018,0.06747778452367825,0.057220209285328165,0.05833333333333333,0.057792365313356464
1959-04-01,27.726130203044374,27.101860274535802,16.73717114359148,16.531610043196057,4.741557483987099,4.352023305302184,110.74332130061552,108.7836328748269,28.6985988408994,28.565785247122182,14.255940923234489,14.12052700872334,1.549733156922349e-05,1.5175073460904926e-05,0.03,0.029432223163198712,0.0774744808226242,0.05632279495900813,0.051000000000000004,0.0579288252398361
1959-07-01,27.646825052366456,27.264913683120355,16.888483345688527,16.61854496300175,4.402458612829168,4.371504159306138,110.02757298082014,108.6206689014138,28.800082718379155,28.60085793264768,14.257577322835298,14.21322475406787,1.5591799574895545e-05,1.5317934161913015e-05,0.03540000000000001,0.029231471226056932,0.07664496983816349,0.05543179161721206,0.05266666666666667,0.05806562327132822
1959-10-01,27.63876650031877,27.42968573092299,16.880353111040318,16.706137968713538,4.524057193858457,4.391435550957713,109.69774060650224,108.45932329054793,28.82466154872895,28.636238686220462,14.277000095634996,14.306751619463236,1.553613094865945e-05,1.5462744209019655e-05,0.0423,0.029028701080397536,0.06964015333490159,0.05456683004812867,0.05600000000000001,0.058198766997070404
1960-01-01,28.06733403959037,27.597003086310202,16.880496024120372,16.79472961977018,4.990019531636568,4.412143015411973,109.63936040243053,108.30175102108575,28.774413389732334,28.672227168726515,14.51225665021463,14.401297970133099,1.5446185228772615e-05,1.5610113894723843e-05,0.03873333333333333,0.028826936382706926,0.05466167284431345,0.05376079927633477,0.051333333333333335,0.0583208896584223
1960-04-01,27.83866158251342,27.76784429443776,17.09216028499227,16.884777142750053,4.4811045856261345,4.434040871179436,109.50941104917584,108.15086221101026,28.956763496777324,28.709242246943063,14.373306342201367,14.497040230865046,1.5491648189722018e-05,1.576072293193082e-05,0.029933333333333336,0.02863749535129624,0.052940523921966465,0.053056009153461384,0.052333333333333336,0.05842325026737037
1960-07-01,27.884537182542648,27.94350734308403,16.97417870156589,16.97680161852689,4.414525311794791,4.457895111910414,108.54249453607112,108.01038024908947,28.994544467483973,28.747768943830312,14.473619305647905,14.594229395355107,1.5662790525503053e-05,1.5915171737080004e-05,0.0236,0.028477887702570773,0.03554758749707676,0.052495332577119504,0.05533333333333334,0.05849274061319791
1960-10-01,27.430692962384345,28.125368367388752,16.961422936572152,17.071465842524933,3.8573293252306136,4.4845194238227295,107.15492516805301,107.8848531445467,29.00501702832862,28.78844952024038,14.35580568422943,14.693044348118827,1.578890071295726e-05,1.6073910753167998e-05,0.023066666666666666,0.028366433051674567,0.03463613780115349,0.052121570266650444,0.06266666666666666,0.05851244628710442
1961-01-01,27.515598915079785,28.31480322140339,16.888466342529032,17.169446084507072,3.956965846570431,4.514722850864584,106.16422400398542,107.77914372742224,28.872571337323105,28.83208426333558,14.510671487254776,14.793591956042638,1.5968617434359476e-05,1.6237245659146617e-05,0.0235,0.02831840233393757,0.024990501403341137,0.051966930600720496,0.068,0.05846347825073947
1961-04-01,27.89188839470731,28.512781452333297,17.042797568199457,17.271365043863977,4.22275594074655,4.548913957306894,105.57730413845225,107.69764791736057,28.782038092164086,28.879614294809546,14.778446517397676,14.895765692515,1.6173139856444353e-05,1.640531056423372e-05,0.023033333333333333,0.0283457541306991,0.021814646245725378,0.052052693562705005,0.07,0.05832954385348989
1961-07-01,28.34041700419269,28.719788940750686,17.090799546702435,17.377682135841926,4.5389978803837945,4.587143403654027,105.87144902501309,107.64374695931826,28.765520805854376,28.932013578236703,14.991979155529705,14.999274864190232,1.635364569535274e-05,1.6578071578224277e-05,0.023033333333333333,0.02845743552183977,0.030729301530142195,0.052383278867730976,0.06766666666666667,0.058100310770835786
