,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1948-01-01,20.313927040596,19.8725708407288,13.023625839199005,12.921333252251795,3.608228974607748,3.4311412878506156,111.52944492681304,108.53441685951336,22.002581611607443,21.93837758457511,11.410093093081894,11.373074692012523
1948-04-01,20.60415904397287,20.087337576802312,13.163917364301339,13.013821880746322,3.805049582808698,3.45621915289451,111.2388303578245,108.69167850639946,22.159769601879063,22.082082102813104,11.563909003103246,11.458956059624558
1948-07-01,20.654626273344515,20.30470409859588,13.099600221613702,13.107037122748764,3.8850784157758715,3.4815898127640192,111.66173897061387,108.85101991973183,22.337248199994246,22.226768534600918,11.53143566316658,11.545509391339083
1948-10-01,20.644279800970388,20.52531220254945,13.101429618523857,13.20114477951364,3.779892923189738,3.507578118005314,110.44517094932533,109.01588253842735,22.564675947333306,22.37253381259013,11.566939147065323,11.632830029594121
1949-01-01,20.327437311240672,20.75005223563694,13.069369849487696,13.296310583416723,3.1884263240432915,3.534760904583,108.40094645929652,109.1914689816765,22.758792828653018,22.51954706792259,11.494052580302176,11.721007149018115
1949-04-01,20.20891512942158,20.97992817564481,13.28979833936401,13.392641431978573,2.699055073338103,3.5638998682876237,106.33491534691109,109.38390806592008,22.779791790410464,22.668102884731727,11.567127809162308,11.810090555929778
1949-07-01,20.35988180062833,21.21571432781065,13.265866866903835,13.49010199180675,2.9506977757734822,3.5955516534966687,104.91885352329975,109.59887993009319,22.67039991444908,22.81865416811183,11.775355175863712,11.899985975779414
1949-10-01,20.13148351412398,21.457716142550655,13.40841738606027,13.588590216496689,2.7871809697746244,3.6296649776604677,104.18967226061343,109.84017974760886,22.625291728688854,22.971736248241175,11.704316373836908,11.990440293481305
1950-01-01,20.861761376239766,21.705692551255037,13.588507523971177,13.687857462236744,3.4728249411662397,3.665736565822482,104.6962755950237,110.1086489847922,22.54001380433473,23.12780444597959,12.10670569726482,12.08111304093977
1950-04-01,21.439225658903645,21.958513407572,13.79204701527691,13.787532591179573,3.8606893273012908,3.7026333405453395,107.00187819746351,110.40151123663411,22.632801547411997,23.287105159671192,12.249279649618156,12.171469684925402
1950-07-01,22.21951765277344,22.21444243360836,14.457507754165425,13.8871703085068,4.228337010109548,3.7390500427656694,110.13984949501088,110.71248836242376,22.832070519997195,23.44951415406412,12.420644648966569,12.260976142550213
1950-10-01,22.70099076526363,22.471323689161846,14.044821197458546,13.986315386047766,4.856079979263337,3.7737287292887056,111.43795564711493,111.0330703820354,23.225211479746193,23.614482865306748,12.518481779723961,12.349132482642135
1951-01-01,23.074297672979995,22.72690381052178,14.366977956164062,14.084854274662579,4.435072298560696,3.805660166575862,113.62816301271461,111.35429105683012,23.76980777303104,23.781050277451296,12.462865012297506,12.43552617178893
1951-04-01,23.514620938305786,22.97897516829438,14.005444634654497,14.1827078330144,4.60485832975634,3.8344122181708378,114.74925460354193,111.66733465767933,24.16911725425449,23.94797898187205,12.546528105383915,12.519841459932671
1951-07-01,23.9911744758838,23.22545886181689,14.175197233760947,14.279972393118431,4.231816910766691,3.859918643344968,113.57735422633672,111.96470236145595,24.546916435479122,24.113989462375706,12.81672948135222,12.601773524895249
1951-10-01,23.997004298976492,23.464536047211677,14.255586082297157,14.376634569591515,3.8459562168431916,3.8825659682675155,113.40942266137108,112.24073132779205,24.77959979234417,24.27790665184423,12.789876854558266,12.681029025612574
1952-01-01,24.22737633061283,23.694809525358703,14.339614556595754,14.472614595562055,3.914139961233908,3.9029827401936594,114.00964506989621,112.4907200784348,24.929041384417523,24.438796792242567,12.841379243620725,12.75744506932773
1952-04-01,24.24656316177207,23.91518282874508,14.579502821546063,14.567754198890366,3.5597175686966924,3.921793248502917,113.38042992259827,112.71067268725749,25.084278310647363,24.59601835050535,12.869869252646696,12.83092659484879
1952-07-01,24.34286206592965,24.12487692013142,14.535039053908072,14.66180703258804,3.788128309176463,3.9396441116164858,113.83399818787841,112.89753195953031,25.09996820379118,24.749223935953573,12.884676232870078,12.901432528549055
